row_index,ai_suggested_label,human_final_label,changed_flag,review_notes
1,opinion_speculation,opinion_speculation,0,
2,analysis_evidence,analysis_evidence,0,
3,opinion_speculation,opinion_speculation,0,
4,analysis_evidence,analysis_evidence,0,ambiguous: practical_experience vs analysis_evidence; overrode_to_analysis_evidence_from_practical_experience
5,analysis_evidence,analysis_evidence,0,ambiguous: analysis_evidence vs opinion_speculation
6,opinion_speculation,opinion_speculation,0,
7,low_substance_reaction,low_substance_reaction,0,
8,opinion_speculation,opinion_speculation,0,
9,analysis_evidence,analysis_evidence,0,
10,opinion_speculation,opinion_speculation,0,
11,analysis_evidence,analysis_evidence,0,ambiguous: analysis_evidence vs opinion_speculation
12,practical_experience,practical_experience,0,
13,analysis_evidence,analysis_evidence,0,ambiguous: analysis_evidence vs opinion_speculation
14,analysis_evidence,analysis_evidence,0,
15,analysis_evidence,analysis_evidence,0,ambiguous: analysis_evidence vs opinion_speculation
16,opinion_speculation,opinion_speculation,0,
17,opinion_speculation,opinion_speculation,0,
18,analysis_evidence,analysis_evidence,0,
19,opinion_speculation,opinion_speculation,0,
20,opinion_speculation,opinion_speculation,0,
21,low_substance_reaction,low_substance_reaction,0,fallback
22,opinion_speculation,opinion_speculation,0,
23,opinion_speculation,opinion_speculation,0,ambiguous: opinion_speculation vs low_substance_reaction
24,low_substance_reaction,low_substance_reaction,0,
25,opinion_speculation,opinion_speculation,0,
26,low_substance_reaction,low_substance_reaction,0,fallback
27,opinion_speculation,opinion_speculation,0,
28,analysis_evidence,analysis_evidence,0,ambiguous: analysis_evidence vs opinion_speculation
29,opinion_speculation,opinion_speculation,0,ambiguous: opinion_speculation vs low_substance_reaction
30,opinion_speculation,opinion_speculation,0,
31,opinion_speculation,opinion_speculation,0,
32,practical_experience,practical_experience,0,
33,opinion_speculation,opinion_speculation,0,ambiguous: opinion_speculation vs low_substance_reaction
34,practical_experience,practical_experience,0,ambiguous: practical_experience vs analysis_evidence
35,analysis_evidence,analysis_evidence,0,ambiguous: analysis_evidence vs opinion_speculation
36,opinion_speculation,opinion_speculation,0,
37,opinion_speculation,opinion_speculation,0,
38,opinion_speculation,opinion_speculation,0,
39,opinion_speculation,opinion_speculation,0,
40,practical_experience,practical_experience,0,
41,opinion_speculation,opinion_speculation,0,
42,opinion_speculation,opinion_speculation,0,
43,analysis_evidence,analysis_evidence,0,ambiguous: analysis_evidence vs opinion_speculation
44,analysis_evidence,analysis_evidence,0,ambiguous: analysis_evidence vs opinion_speculation
45,opinion_speculation,opinion_speculation,0,
46,opinion_speculation,opinion_speculation,0,
47,opinion_speculation,opinion_speculation,0,
48,opinion_speculation,opinion_speculation,0,
49,opinion_speculation,opinion_speculation,0,
50,analysis_evidence,analysis_evidence,0,
51,opinion_speculation,opinion_speculation,0,
52,opinion_speculation,opinion_speculation,0,
53,low_substance_reaction,low_substance_reaction,0,ambiguous: reaction+reason/opinion
54,opinion_speculation,opinion_speculation,0,
55,opinion_speculation,opinion_speculation,0,
56,opinion_speculation,opinion_speculation,0,
57,opinion_speculation,opinion_speculation,0,ambiguous: opinion_speculation vs low_substance_reaction
58,opinion_speculation,opinion_speculation,0,
59,opinion_speculation,opinion_speculation,0,
60,practical_experience,practical_experience,0,
61,low_substance_reaction,low_substance_reaction,0,
62,opinion_speculation,opinion_speculation,0,
63,low_substance_reaction,low_substance_reaction,0,fallback
64,opinion_speculation,opinion_speculation,0,
65,analysis_evidence,analysis_evidence,0,ambiguous: analysis_evidence vs opinion_speculation
66,opinion_speculation,opinion_speculation,0,
67,opinion_speculation,opinion_speculation,0,
68,low_substance_reaction,low_substance_reaction,0,
69,opinion_speculation,opinion_speculation,0,
70,analysis_evidence,analysis_evidence,0,ambiguous: analysis_evidence vs opinion_speculation
71,opinion_speculation,opinion_speculation,0,
72,low_substance_reaction,low_substance_reaction,0,
73,opinion_speculation,opinion_speculation,0,
74,opinion_speculation,opinion_speculation,0,
75,opinion_speculation,opinion_speculation,0,
